Iterations,Seconds,Score
10000,1617698500,10.638963
20000,1617698500,8.432095
30000,1617698500,7.834267
40000,1617698501,7.413377
50000,1617698501,7.329417
60000,1617698501,7.224414
70000,1617698501,6.948306
80000,1617698501,6.888262
90000,1617698501,6.831971
100000,1617698501,6.691012
110000,1617698502,6.530395
120000,1617698502,6.483902
130000,1617698502,6.415221
140000,1617698502,6.362762
150000,1617698502,6.353260
160000,1617698503,6.304703
170000,1617698503,6.296618
180000,1617698503,6.277596
190000,1617698503,6.257372
200000,1617698503,6.209886
210000,1617698503,6.183724
220000,1617698504,6.144711
230000,1617698504,6.128946
240000,1617698504,6.088189
250000,1617698504,6.076343
260000,1617698504,6.076343
270000,1617698504,6.067941
280000,1617698504,6.055739
290000,1617698505,6.025810
300000,1617698505,5.992701
310000,1617698505,5.976679
320000,1617698505,5.962296
330000,1617698506,5.962296
340000,1617698506,5.960316
350000,1617698506,5.952018
360000,1617698506,5.945287
370000,1617698506,5.945287
380000,1617698506,5.932681
390000,1617698506,5.932681
400000,1617698507,5.930700
410000,1617698507,5.930700
420000,1617698507,5.927745
430000,1617698507,5.925440
440000,1617698508,5.912783
450000,1617698508,5.910920
460000,1617698508,5.904979
470000,1617698508,5.904979
480000,1617698508,5.904979
490000,1617698508,5.903509
500000,1617698509,5.885454
510000,1617698509,5.853247
520000,1617698509,5.820530
530000,1617698509,5.807180
540000,1617698510,5.803219
550000,1617698510,5.797994
560000,1617698510,5.789402
570000,1617698510,5.782804
580000,1617698510,5.776151
590000,1617698510,5.733481
600000,1617698510,5.721301
610000,1617698511,5.715359
620000,1617698511,5.714196
630000,1617698511,5.713644
640000,1617698511,5.685101
650000,1617698512,5.685101
660000,1617698512,5.670335
670000,1617698512,5.666374
680000,1617698512,5.660367
690000,1617698512,5.651965
700000,1617698512,5.634342
710000,1617698513,5.620479
720000,1617698513,5.620479
730000,1617698513,5.619171
740000,1617698513,5.610406
750000,1617698513,5.610406
760000,1617698514,5.610406
770000,1617698514,5.608426
780000,1617698514,5.591435
790000,1617698514,5.585915
800000,1617698514,5.585915
810000,1617698514,5.585915
820000,1617698515,5.577993
830000,1617698515,5.552246
840000,1617698515,5.545737
850000,1617698515,5.504927
860000,1617698515,5.504927
870000,1617698516,5.495275
880000,1617698516,5.493294
890000,1617698516,5.493294
900000,1617698516,5.493294
910000,1617698516,5.492170
920000,1617698516,5.492170
930000,1617698517,5.492170
940000,1617698517,5.492170
950000,1617698517,5.492170
960000,1617698517,5.492170
970000,1617698517,5.492170
980000,1617698518,5.492170
990000,1617698518,5.490190
1000000,1617698518,5.485338
1010000,1617698518,5.472058
1020000,1617698518,5.471234
1030000,1617698518,5.463874
1040000,1617698519,5.458239
1050000,1617698519,5.440707
1060000,1617698519,5.437375
1070000,1617698519,5.437375
1080000,1617698519,5.437375
1090000,1617698520,5.424666
1100000,1617698520,5.422685
1110000,1617698520,5.418687
1120000,1617698520,5.410084
1130000,1617698520,5.410084
1140000,1617698520,5.402892
1150000,1617698521,5.399133
1160000,1617698521,5.399133
1170000,1617698521,5.393906
1180000,1617698521,5.382783
1190000,1617698521,5.372456
1200000,1617698522,5.366514
1210000,1617698522,5.366514
1220000,1617698522,5.364469
1230000,1617698522,5.364469
1240000,1617698522,5.360507
1250000,1617698523,5.349709
1260000,1617698523,5.344634
1270000,1617698523,5.334558
1280000,1617698523,5.330597
1290000,1617698523,5.329693
1300000,1617698524,5.324589
1310000,1617698524,5.324589
1320000,1617698524,5.319545
1330000,1617698524,5.319545
1340000,1617698524,5.318347
1350000,1617698524,5.306939
1360000,1617698525,5.304038
1370000,1617698525,5.297531
1380000,1617698525,5.297531
1390000,1617698525,5.297531
1400000,1617698525,5.297531
1410000,1617698526,5.294156
1420000,1617698526,5.294156
1430000,1617698526,5.292176
1440000,1617698526,5.290195
1450000,1617698526,5.283364
1460000,1617698527,5.283364
1470000,1617698527,5.276590
1480000,1617698527,5.275932
1490000,1617698527,5.249226
1500000,1617698528,5.249226
1510000,1617698528,5.240157
1520000,1617698528,5.229341
1530000,1617698528,5.225380
1540000,1617698528,5.223400
1550000,1617698529,5.223400
1560000,1617698529,5.223400
1570000,1617698529,5.223400
1580000,1617698529,5.223400
1590000,1617698529,5.223400
1600000,1617698530,5.223400
1610000,1617698530,5.221419
1620000,1617698530,5.221419
1630000,1617698530,5.219303
1640000,1617698530,5.219303
1650000,1617698531,5.211381
1660000,1617698531,5.209401
1670000,1617698531,5.205440
1680000,1617698532,5.195982
1690000,1617698532,5.195982
1700000,1617698532,5.195982
1710000,1617698532,5.195982
1720000,1617698532,5.192141
1730000,1617698533,5.192141
1740000,1617698533,5.190161
1750000,1617698533,5.183073
1760000,1617698533,5.181092
1770000,1617698534,5.181092
1780000,1617698534,5.177131
1790000,1617698534,5.161054
1800000,1617698534,5.161054
1810000,1617698534,5.161054
1820000,1617698534,5.161054
1830000,1617698535,5.161054
1840000,1617698535,5.161054
1850000,1617698535,5.161054
1860000,1617698535,5.161054
1870000,1617698536,5.161054
1880000,1617698536,5.155748
1890000,1617698536,5.155748
1900000,1617698536,5.155748
1910000,1617698536,5.139095
1920000,1617698537,5.129192
1930000,1617698537,5.129192
1940000,1617698537,5.120426
1950000,1617698537,5.118029
1960000,1617698537,5.110941
1970000,1617698538,5.110941
1980000,1617698538,5.103139
1990000,1617698538,5.093236
2000000,1617698538,5.093236
2010000,1617698538,5.093236
2020000,1617698538,5.090784
2030000,1617698539,5.083279
2040000,1617698539,5.081298
2050000,1617698539,5.075452
2060000,1617698539,5.075452
2070000,1617698539,5.075187
2080000,1617698540,5.070544
2090000,1617698540,5.057693
2100000,1617698540,5.056110
2110000,1617698540,5.056110
2120000,1617698540,5.056110
2130000,1617698541,5.056110
2140000,1617698541,5.056110
2150000,1617698541,5.056110
2160000,1617698541,5.056110
2170000,1617698541,5.048187
2180000,1617698542,5.046207
2190000,1617698542,5.041670
2200000,1617698542,5.027755
2210000,1617698542,5.025774
2220000,1617698542,5.025039
2230000,1617698542,5.021078
2240000,1617698543,5.021078
2250000,1617698543,5.021078
2260000,1617698543,5.021078
2270000,1617698543,5.017117
2280000,1617698543,5.017117
2290000,1617698544,5.016369
2300000,1617698544,5.016369
2310000,1617698544,5.016369
2320000,1617698544,5.016369
2330000,1617698544,5.015634
2340000,1617698545,5.015634
2350000,1617698545,5.015634
2360000,1617698545,5.010268
2370000,1617698545,5.010268
2380000,1617698545,5.008806
2390000,1617698546,5.006252
2400000,1617698546,5.006252
2410000,1617698546,5.006252
2420000,1617698546,5.005954
2430000,1617698546,5.004921
2440000,1617698546,5.002940
2450000,1617698547,5.001849
2460000,1617698547,5.001849
2470000,1617698547,4.991946
2480000,1617698547,4.991946
2490000,1617698547,4.991946
2500000,1617698548,4.991946
2510000,1617698548,4.991946
2520000,1617698548,4.991946
2530000,1617698548,4.991946
2540000,1617698548,4.989965
2550000,1617698549,4.989965
2560000,1617698549,4.989965
2570000,1617698549,4.988393
2580000,1617698549,4.988393
2590000,1617698549,4.988393
2600000,1617698550,4.988393
2610000,1617698550,4.988393
2620000,1617698550,4.988393
2630000,1617698550,4.988393
2640000,1617698550,4.986412
2650000,1617698550,4.986412
2660000,1617698551,4.986412
2670000,1617698551,4.986412
2680000,1617698551,4.986412
2690000,1617698551,4.982451
2700000,1617698551,4.982451
2710000,1617698552,4.982451
2720000,1617698552,4.980388
2730000,1617698552,4.980388
2740000,1617698552,4.980388
2750000,1617698552,4.980388
2760000,1617698553,4.980388
2770000,1617698553,4.980388
2780000,1617698553,4.980388
2790000,1617698553,4.980388
2800000,1617698553,4.980388
2810000,1617698554,4.980388
2820000,1617698554,4.980388
2830000,1617698554,4.980388
2840000,1617698554,4.980388
2850000,1617698554,4.980388
2860000,1617698554,4.974447
2870000,1617698555,4.974447
2880000,1617698555,4.974447
2890000,1617698555,4.974447
2900000,1617698555,4.974447
2910000,1617698555,4.974447
2920000,1617698556,4.974447
2930000,1617698556,4.971190
2940000,1617698556,4.971190
2950000,1617698556,4.971190
2960000,1617698556,4.971190
2970000,1617698557,4.970446
2980000,1617698557,4.970446
2990000,1617698557,4.970016
3000000,1617698557,4.970016
3010000,1617698557,4.970016
3020000,1617698558,4.970016
3030000,1617698558,4.970016
3040000,1617698558,4.970016
3050000,1617698558,4.969117
3060000,1617698558,4.969117
3070000,1617698558,4.969117
3080000,1617698559,4.967136
3090000,1617698559,4.965156
3100000,1617698559,4.963067
3110000,1617698559,4.963067
3120000,1617698560,4.958947
3130000,1617698560,4.958947
3140000,1617698560,4.958947
3150000,1617698560,4.958947
3160000,1617698560,4.958947
3170000,1617698560,4.958947
3180000,1617698561,4.958947
3190000,1617698561,4.958947
3200000,1617698561,4.958947
3210000,1617698561,4.958947
3220000,1617698561,4.958947
3230000,1617698562,4.953190
3240000,1617698562,4.953190
3250000,1617698562,4.953190
3260000,1617698562,4.953190
3270000,1617698562,4.953190
3280000,1617698563,4.937632
3290000,1617698563,4.929710
3300000,1617698563,4.895434
3310000,1617698563,4.895434
3320000,1617698563,4.895434
3330000,1617698564,4.895434
3340000,1617698564,4.895434
3350000,1617698564,4.895434
3360000,1617698564,4.895434
3370000,1617698564,4.895434
3380000,1617698564,4.895434
3390000,1617698565,4.895434
3400000,1617698565,4.895434
3410000,1617698565,4.895434
3420000,1617698565,4.895434
3430000,1617698566,4.895105
3440000,1617698566,4.890401
3450000,1617698566,4.890401
3460000,1617698566,4.890401
3470000,1617698566,4.890401
3480000,1617698566,4.890401
3490000,1617698567,4.890401
3500000,1617698567,4.890401
3510000,1617698567,4.890401
3520000,1617698567,4.890401
3530000,1617698568,4.890401
3540000,1617698568,4.890401
3550000,1617698568,4.890401
3560000,1617698569,4.890401
3570000,1617698569,4.890401
3580000,1617698569,4.890401
3590000,1617698569,4.888420
3600000,1617698569,4.883225
3610000,1617698570,4.824020
3620000,1617698570,4.824020
3630000,1617698570,4.824020
3640000,1617698570,4.824020
3650000,1617698570,4.824020
3660000,1617698571,4.824020
3670000,1617698571,4.824020
3680000,1617698571,4.824020
3690000,1617698571,4.820059
3700000,1617698571,4.820059
3710000,1617698572,4.820059
3720000,1617698572,4.817609
3730000,1617698572,4.817609
3740000,1617698572,4.817609
3750000,1617698572,4.811433
3760000,1617698573,4.811433
3770000,1617698573,4.811433
3780000,1617698573,4.811433
3790000,1617698573,4.809661
3800000,1617698573,4.807681
3810000,1617698573,4.803720
3820000,1617698574,4.798527
3830000,1617698574,4.792133
3840000,1617698574,4.791704
3850000,1617698574,4.791704
3860000,1617698575,4.791704
3870000,1617698575,4.791704
3880000,1617698575,4.791704
3890000,1617698575,4.791704
3900000,1617698575,4.790054
3910000,1617698576,4.784113
3920000,1617698576,4.784113
3930000,1617698576,4.781781
3940000,1617698576,4.781781
3950000,1617698576,4.779801
3960000,1617698577,4.760797
3970000,1617698577,4.760797
3980000,1617698577,4.760797
3990000,1617698577,4.760797
4000000,1617698577,4.760797
4010000,1617698577,4.759466
4020000,1617698578,4.755505
4030000,1617698578,4.749832
4040000,1617698578,4.749832
4050000,1617698578,4.744634
4060000,1617698579,4.710848
4070000,1617698579,4.704122
4080000,1617698579,4.702142
4090000,1617698579,4.696827
4100000,1617698579,4.696827
4110000,1617698580,4.696827
4120000,1617698580,4.696827
4130000,1617698580,4.696827
4140000,1617698580,4.696827
4150000,1617698581,4.696827
4160000,1617698581,4.696827
4170000,1617698581,4.696827
4180000,1617698581,4.696827
4190000,1617698581,4.696827
4200000,1617698581,4.696827
4210000,1617698582,4.657192
4220000,1617698582,4.637896
4230000,1617698582,4.637896
4240000,1617698582,4.637896
4250000,1617698583,4.633314
4260000,1617698583,4.631334
4270000,1617698583,4.627373
4280000,1617698583,4.625272
4290000,1617698583,4.618839
4300000,1617698583,4.612700
4310000,1617698584,4.611117
4320000,1617698584,4.609483
4330000,1617698584,4.609483
4340000,1617698584,4.609483
4350000,1617698585,4.609483
4360000,1617698585,4.608589
4370000,1617698585,4.608129
4380000,1617698585,4.603552
4390000,1617698585,4.603552
4400000,1617698585,4.603552
4410000,1617698586,4.603552
4420000,1617698586,4.603552
4430000,1617698586,4.603552
4440000,1617698587,4.603552
4450000,1617698587,4.601633
4460000,1617698587,4.600523
4470000,1617698587,4.600523
4480000,1617698588,4.592343
4490000,1617698588,4.589482
4500000,1617698588,4.589482
4510000,1617698588,4.585521
4520000,1617698588,4.585521
4530000,1617698588,4.583541
4540000,1617698589,4.583541
4550000,1617698589,4.583541
4560000,1617698589,4.583541
4570000,1617698589,4.583541
4580000,1617698589,4.583541
4590000,1617698590,4.583541
4600000,1617698590,4.583541
4610000,1617698590,4.581560
4620000,1617698590,4.581560
4630000,1617698590,4.581279
4640000,1617698591,4.579299
4650000,1617698591,4.579299
4660000,1617698591,4.579299
4670000,1617698591,4.579299
4680000,1617698591,4.575338
4690000,1617698591,4.575338
4700000,1617698592,4.575338
4710000,1617698592,4.575338
4720000,1617698592,4.575338
4730000,1617698592,4.575338
4740000,1617698592,4.575338
4750000,1617698593,4.575338
4760000,1617698593,4.575338
4770000,1617698593,4.575338
4780000,1617698593,4.575338
4790000,1617698593,4.575338
4800000,1617698594,4.575338
4810000,1617698594,4.575338
4820000,1617698594,4.575338
4830000,1617698594,4.575338
4840000,1617698594,4.575338
4850000,1617698595,4.575338
4860000,1617698595,4.574210
4870000,1617698595,4.574210
4880000,1617698595,4.574210
4890000,1617698595,4.572230
4900000,1617698595,4.559082
4910000,1617698596,4.559082
4920000,1617698596,4.539158
4930000,1617698596,4.538833
4940000,1617698596,4.538833
4950000,1617698596,4.527774
4960000,1617698597,4.520691
4970000,1617698597,4.514750
4980000,1617698597,4.493332
4990000,1617698597,4.488865
5000000,1617698597,4.477136
